osm_id,code,fclass,name,latitude,longitude
"267556057",2404,guesthouse,Friendship Guesthouse,3.679,97.656
"268842942",2301,restaurant,Mama's,5.876,95.255
"268842942",2404,guesthouse,Mama's,5.876,95.255
"330062706",2301,restaurant,"RM Simpang Raya, T. Tinggi",3.328,99.158
"330062729",2301,restaurant,"Restoran India, T. Tinggi",3.327,99.158
"330062753",2601,bank,"Bank Muamalat, T. Tinggi",3.327,99.158
"330062760",2101,pharmacy,"Apotik Kimia Farma, T. Tinggi",3.328,99.162
"330062832",2601,bank,"Bank Syariah Mandiri, T. Tinggi",3.329,99.159
"330062842",2101,pharmacy,"Apotik Keluarga, T. Tinggi",3.329,99.159
"330062847",2601,bank,"Panin Bank, T. Tinggi",3.329,99.159
"330062851",2601,bank,"Bank Mestika, T. Tinggi",3.331,99.160
"330062855",2101,pharmacy,"Apotik Bersama, T. Tinggi",3.331,99.160
"330062873",2301,restaurant,"RM Saiyo, T. Tinggi",3.331,99.160
"330062878",2601,bank,"Bank BRI - Ahmad Yani, T. Tinggi",3.328,99.158
"330062883",2110,hospital,Lab. Klinik Gatot Subroto,3.330,99.159
"330062886",2101,pharmacy,"Apotik Kita, T. Tinggi",3.329,99.159
"330062893",2101,pharmacy,"Apotik Sempurna, T. Tinggi",3.329,99.159
"330062899",2602,atm,"ATM Mandiri - Sudirman, T. Tinggi",3.331,99.160
"330062903",2601,bank,Bank BCA,3.332,99.161
"330062904",2110,hospital,"Lab. Klinik Prodia, T. Tinggi",3.333,99.161
"330062906",2601,bank,"Bank BTN, T. Tinggi",3.332,99.161
"330062913",2601,bank,"Bank Danamon, T. Tinggi",3.332,99.161
"330063164",2101,pharmacy,"Apotik Bulian, T. Tinggi",3.330,99.159
"330063167",2501,supermarket,"Central Raya, T. Tinggi",3.330,99.158
"330063168",2101,pharmacy,"Apotik Surya Baru, T. Tinggi",3.329,99.159
"330063169",2101,pharmacy,"Apotik Saudara, T. Tinggi",3.330,99.159
"330063205",2110,hospital,"RS Umum, T. Tinggi",3.330,99.156
"330063229",2101,pharmacy,"Apotik Tangan Mas, T. Tinggi",3.330,99.158
"330063234",2501,supermarket,"Great Market, T. Tinggi",3.326,99.162
"330063892",2001,police,Polres T. Tinggi,3.325,99.162
"330078209",2601,bank,"Bank BNI, T. Tinggi",3.333,99.161
"330082312",2251,sports_centre,GOR Tebing Tinggi,3.324,99.158
"330082315",2501,supermarket,"Supermarket Irian,Tebing Tinggi",3.325,99.159
"330083002",2082,school,"SMPN 1, Tebing Tinggi",3.327,99.165
"330083003",2082,school,"SMPN 4, Tebing Tinggi",3.326,99.166
"330083238",2601,bank,"Bank Syariah Sumut, Tebing Tinggi",3.327,99.164
"330083290",2601,bank,"Bank SUMUT, Tebing Tinggi",3.327,99.164
"330083842",2601,bank,"Bank Mandiri, Tebing Tinggi",3.327,99.165
"330083853",2601,bank,"Bank BRI, Tebing Tinggi",3.327,99.165
"330084023",2082,school,"Perg. Nusantara, Tebing Tinggi",3.327,99.165
"330086745",2724,memorial,"Tugu Peringatan 13 Desember 1945, Tebing Tinggi",3.328,99.162
"336494999",2541,car_dealership,,0.440,101.323
"457337084",2505,department_store,Ramayana,0.529,101.447
"457837520",2110,hospital,rs bunda,0.685,101.572
"460436680",2741,picnic_site,Danau Buatan,0.584,101.475
"460449426",2950,tower,TVRI,0.575,101.472
"461577444",2543,doityourself,Global Bangungan,0.502,101.426
"461802011",2301,restaurant,Ayam Goreng Suharti,0.536,101.432
"462084840",2302,fast_food,Van Hollano,0.531,101.448
"462086850",2401,hotel,Grand Elite,0.532,101.424
"462098395",2005,post_office,Kantor POS,0.523,101.469
"462098397",2401,hotel,Pangeran,0.505,101.453
"462161178",2301,restaurant,Rumah Makan Minan Harapan,0.491,101.487
"462171363",2401,hotel,Labersa Hotel,0.438,101.482
"462171366",2253,swimming_pool,Water Boom,0.449,101.478
"465135769",2601,bank,BCA,0.521,101.447
"470793865",2301,restaurant,Resthouse Taman Tasik Seminai,0.654,101.822
"485714810",2015,graveyard,Kuburan,0.795,102.047
"485777233",2742,viewpoint,,0.802,102.040
"485777236",2742,viewpoint,,0.806,102.035
"485854836",2505,department_store,Ramayana,0.673,101.599
"485897854",2016,market_place,Pasar Rumbai,0.560,101.442
"503786177",2401,hotel,Bintan Agro Beach Resort,1.033,104.657
"508066389",2083,kindergarten,Bangkinang,0.351,101.027
"512314124",2301,restaurant,Nelayan Grill,1.193,104.425
"514081873",2303,cafe,Ripples By The Pool,1.192,104.424
"514081944",2305,bar,Pasir Panjang Beach Bar,1.192,104.426
"524700683",2601,bank,Bank Mandiri,1.144,104.012
"525157728",2951,comms_tower,Menara Telkom,1.160,104.002
"525899410",2005,post_office,Kantor Pos Nagoya Plasa,1.145,104.012
"542894904",2401,hotel,Nagoya Plasa,1.146,104.011
"544526886",2251,sports_centre,,5.544,95.318
"547533116",2301,restaurant,Pizza Hut,5.556,95.322
"547533898",2501,supermarket,Market,5.561,95.320
"577447488",2722,museum,Museum Daerah Sumatera Utara,3.568,98.696
"577449434",2082,school,universitas islam sumatera utara,3.562,98.694
"577449525",2030,recycling,,3.570,98.690
"577449829",2505,department_store,Yuki Dept. Store,3.573,98.691
"577453256",2016,market_place,Pusat pasar,3.590,98.686
"577453384",2723,monument,Monumen Medan Area,3.591,98.684
"577453445",2723,monument,Gedung Perjuangan Medan Area,3.592,98.684
"577453982",2723,monument,Monumen Medan Perjuangan,3.598,98.691
"577453984",2725,artwork,Taman Budaya,3.600,98.681
"577454865",2110,hospital,Puskesmas,3.533,98.690
"577457709",2082,school,SD Abdi Sukma,3.546,98.691
"577458131",2082,school,Madrasah Al Falah,3.547,98.693
"577459204",2082,school,PAUD,3.546,98.691
"577459205",2082,school,STM 1,3.551,98.691
"577459206",2082,school,STM 4,3.551,98.691
"577459207",2082,school,SMEA 3,3.550,98.691
"577459297",2082,school,SD 060812,3.549,98.691
"577459302",2082,school,STM Ntah Apa,3.550,98.693
"577462702",2303,cafe,JJS Kanal,3.532,98.691
"577462702",2741,picnic_site,JJS Kanal,3.532,98.691
"577463342",2082,school,Pesantren,3.526,98.682
"577463693",2082,school,SD Negeri 21,3.543,98.699
"577464337",2723,monument,Samsat,3.546,98.699
"577493625",2082,school,SMA Negeri 2 Medan,3.546,98.682
"595359839",2737,fort,Fort de Kock,-0.300,100.368
"595359839",2721,attraction,Fort de Kock,-0.300,100.368
"595359841",2722,museum,Rumah Adat,-0.301,100.370
"595359842",2742,viewpoint,Kelok 9,-0.068,100.698
"595359844",2723,monument,Equator Monument,0.002,100.726
"601846788",2258,track,Go-Kart,1.162,104.040
"601846790",2301,restaurant,Golden Cheng Hoo Boat,1.163,104.043
"601846791",2205,playground,Tempat Bermain,1.162,104.042
"601846792",2082,school,SMK Pelayaran Maritim Nasional,1.174,104.031
"601851058",2005,post_office,Kantor Pos Batam Centre,1.131,104.051
"601851062",2082,school,SMK Kolese Tiara Bangsa,1.133,104.048
"601855868",2252,pitch,Tennis Court PLH,1.126,104.058
"603294185",2742,viewpoint,Panorama Danau Kembar,-1.044,100.740
"624937224",2401,hotel,Holiday Inn Batam,1.075,103.933
"624941334",2301,restaurant,Delima Seafood Restaurant,1.078,103.930
"624941334",2723,monument,Delima Seafood Restaurant,1.078,103.930
"624947079",2401,hotel,Harris Resort Batam,1.083,103.937
"624950721",2721,attraction,Batam Cable Ski,1.080,103.938
"624970178",2732,ruins,Snow City,1.078,103.934
"625264583",2258,track,,1.086,103.941
"625264583",2721,attraction,,1.086,103.941
"652746404",2742,viewpoint,Puncak,3.551,98.120
"665484664",2401,hotel,Jungle Inn,3.550,98.116
"665484670",2303,cafe,,3.551,98.123
"665497417",2501,supermarket,,2.752,98.744
"665497965",2722,museum,Museum Huta Bolon Simanindo,2.752,98.744
"665509631",2401,hotel,Tabo Cottages,2.670,98.856
"671502689",2082,school,,2.602,98.936
"700622977",2301,restaurant,Sate/Gulai Kambing Aviari,1.052,103.973
"700636723",2602,atm,ATM Bank Mandiri,1.049,103.969
"700642527",2401,hotel,Acacia Hotel,1.117,103.953
"700643132",2512,clothes,Acan Tailor,1.101,103.949
"700645183",2008,town_hall,Balai Pertemuan Tg.Riau,1.099,103.930
"700645206",2253,swimming_pool,Indah Puri Swimming P.,1.139,103.961
"700645213",2101,pharmacy,Kimia Farma Aviari,1.049,103.969
"700645220",2601,bank,Mandiri Bank,1.108,103.953
"700645233",2504,mall,Mitra Mall B.Aji,1.053,103.968
"700645239",2255,golf_course,Paradise Bay Golf Club,1.058,103.957
"700645244",2101,pharmacy,Apotik Kimia Farma,1.109,103.952
"700645257",2082,school,SDN 11 Tg.Riau,1.102,103.948
"700645258",2082,school,SMA Negeri 1 Batam,1.114,103.951
"700645260",2082,school,Sekolah Basic Kristen,1.053,103.955
"700645329",2204,park,Lotus Lake Park,1.125,103.930
"700645390",2541,car_dealership,Yamaha Motor,1.054,103.968
"701909722",2016,market_place,Pasar Rakyat Tembesi,1.037,103.985
"701939374",2602,atm,"Atm Bca, Sagulung",1.041,103.983
"701939389",2602,atm,Atm Mandiri,1.041,103.983
"701940763",2511,convenience,Citi Mart Mini Market,1.044,103.977
"701940769",2504,mall,Saras Super Mall,1.044,103.977
"701949992",2950,tower,Free Internet Park Sagulung,1.037,103.977
"701966336",2110,hospital,Rsb Graga Hermina,1.045,103.974
"701982800",2081,university,Universitas Putera Batam,1.046,103.969
"702002584",2082,school,SMPN 21 Batam,1.037,103.962
"702002716",2082,school,Sdn 019 Kecamatan Sei Beduk,1.032,103.976
"702002990",2082,school,TKI Yaa Bunayya 1,1.048,103.981
"702009815",2110,hospital,Rumah Sakit Aini,1.052,103.978
"702021798",2082,school,SMPN 026 Batam,1.055,103.978
"702021818",2110,hospital,Puskesmas Batu Aji,1.055,103.978
"702039294",2602,atm,Atm Ocbc Nisp,1.051,103.969
"702039327",2602,atm,Atm Bca,1.053,103.968
"702070734",2016,market_place,Pasar Mandalay,1.041,103.957
"702100174",2950,tower,Tower Celular,1.044,103.971
"702155069",2082,school,SDIT Lukmanul Hakim,1.046,103.983
"702158809",2082,school,SMK Negeri 1 Batam,1.044,103.990
"702158851",2082,school,SD-SMP-SMA Muhammadiyah,1.045,103.990
"702170282",2082,school,SDN 2 Tembesi,1.037,104.000
"702173180",2302,fast_food,Soft Drink Shop,1.038,103.998
"702173180",2511,convenience,Soft Drink Shop,1.038,103.998
"702179118",2016,market_place,Aviari Pasar dan Plasa,1.050,103.970
"702182328",2602,atm,Atm Bca,1.040,104.001
"702191755",2001,police,,1.054,103.930
"702191760",2002,fire_station,Fire Fighter (Pemadam Kebakaran Sagulung),1.053,103.931
"702191932",2602,atm,Atm Mandiri (Pel.Sagulung),1.046,103.926
"702196805",2082,school,Ponpes. Internasional Bina Ummah,1.047,103.984
"702327648",2110,hospital,SATPOL PP,1.048,103.943
"702328167",2082,school,Sdn 009,1.040,103.946
"702328173",2082,school,Sdn 008,1.040,103.947
"702329016",2082,school,Sdn 011,1.036,103.955
"702331020",2001,police,Police (Pos Polisi Pel.Sagulung),1.027,103.925
"702331035",2082,school,Smpn 27 Batam,1.029,103.958
"702331036",2950,tower,Tower Celuler,1.023,103.959
"702331252",2950,tower,Tower Indosat Bukit Mata Kucing,1.090,103.971
"702331253",2701,tourist_info,Post Kebun Pembibitan Pemko,1.091,103.964
"702331544",2401,hotel,Harris Hotel,1.082,103.937
"702331551",2301,restaurant,Pujasera,1.081,103.936
"702331555",2001,police,,1.081,103.937
"702332585",2008,town_hall,Lurah Tg.Riau Office,1.100,103.935
"702339776",2723,monument,Statue (Music Tradisional) S.Harapan,1.106,103.956
"702341132",2301,restaurant,Kak Dadut Rest.,1.112,104.003
"702341392",2253,swimming_pool,Southlink Swimming P.,1.114,103.996
"702347752",2401,hotel,Crown Vista Hotel,1.119,104.013
"702347754",2253,swimming_pool,Vista Fitnes And Swimming Pool,1.119,104.014
"702347764",2563,car_rental,Bus Charter,1.118,104.016
"702349807",2099,public_building,Direktorat Pengamanan Batam,1.121,104.019
"702349808",2099,public_building,Dinas Perhubungan,1.120,104.019
"702349813",2001,police,Police Hq(Poltabes Barelang),1.118,104.020
"702349814",2010,prison,Lembaga Pemasyarakatan Kelas Iia Batam,1.119,104.020
"702355084",2950,tower,Balmon (Freq.Radio Monitoring),1.126,103.935
"702355093",2701,tourist_info,Pelni Office/Ticketing,1.129,103.929
"702355102",2008,town_hall,Lurah Tg.Pinggir,1.130,103.926
"702355107",2301,restaurant,Keindahan Suasana,1.126,103.928
"702355108",2002,fire_station,Fire Fighter Pel.Sekupang,1.126,103.928
"702364803",2301,restaurant,Aneka Selera Sea Food,0.943,104.078
"702364811",2950,tower,Celular Tower,0.901,104.132
"702364813",2950,tower,Celular Tower,0.889,104.142
"702364816",2950,tower,Celular Tower,0.844,104.172
"702364818",2950,tower,Celular Tower,0.842,104.174
"702365781",2301,restaurant,Cita Rasa Seafood,0.826,104.244
"702366946",2082,school,SMPN 18 Sembulang,0.853,104.261
"702366951",2301,restaurant,Sea Food Pak Long,0.856,104.264
"702670745",2005,post_office,Dhl,1.133,104.018
"702670755",2701,tourist_info,Trans Panorama Ticketing,1.132,104.018
"702670793",2082,school,Sekolah Al-Azhar,1.134,104.020
"702672444",2001,police,Polsek Lubuk Baja,1.132,104.017
"702672512",2008,town_hall,Camat Lubuk Baja Office,1.132,104.016
"702672836",2110,hospital,Klinik Baloi,1.132,104.016
"702672861",2120,doctors,Casa Medika Clinic,1.132,104.017
"702672877",2525,mobile_phone_shop,Telkomsel,1.133,104.017
"702672880",2110,hospital,RS Ibu Dan Anak Permata Hati,1.133,104.016
"702672890",2120,doctors,Prodia Laboratorium,1.134,104.017
"702672905",2525,mobile_phone_shop,Indosat,1.132,104.017
